feature,gain,split
Total_Spillover_avg22_lag11,4.629859924316406,1
Wheat_x_lag4,4.468349933624268,1
Total_Spillover_z20_lag1,3.820359945297241,1
PBW_y_lag3,3.2939400672912598,1
Total_Spillover_chg1_lag8,2.9407598972320557,1
Total_Spillover_chg1_lag16,2.61545991897583,1
avg_dcc_chg1_lag7,0.0,0
avg_dcc_chg1_lag6,0.0,0
Total_Spillover_avg22_lag1,0.0,0
Total_Spillover_avg22_lag2,0.0,0
avg_dcc_chg1_lag8,0.0,0
Total_Spillover_avg5_lag17,0.0,0
Total_Spillover_avg22_lag3,0.0,0
Total_Spillover_avg5_lag16,0.0,0
avg_dcc_chg1_lag9,0.0,0
avg_dcc_chg1_lag18,0.0,0
avg_dcc_chg1_lag10,0.0,0
avg_dcc_avg22_lag2,0.0,0
avg_dcc_chg1_lag16,0.0,0
Total_Spillover_avg5_lag12,0.0,0
avg_dcc_chg1_lag11,0.0,0
avg_dcc_chg1_lag12,0.0,0
Total_Spillover_avg5_lag10,0.0,0
avg_dcc_z20_lag16,0.0,0
avg_dcc_z20_lag17,0.0,0
avg_dcc_chg1_lag13,0.0,0
Total_Spillover_avg5_lag4,0.0,0
avg_dcc_chg1_lag14,0.0,0
avg_dcc_z20_lag19,0.0,0
Total_Spillover_avg5_lag1,0.0,0
Total_Spillover_chg1_lag18,0.0,0
Total_Spillover_chg1_lag20,0.0,0
Total_Spillover_avg5_lag9,0.0,0
Total_Spillover_avg22_lag9,0.0,0
avg_dcc_chg1_lag5,0.0,0
Total_Spillover_avg22_lag5,0.0,0
Total_Spillover_z20_lag17,0.0,0
Total_Spillover_z20_lag16,0.0,0
Total_Spillover_z20_lag15,0.0,0
Total_Spillover_avg22_lag17,0.0,0
Total_Spillover_avg22_lag18,0.0,0
avg_dcc_avg5_lag5,0.0,0
avg_dcc_avg22_lag19,0.0,0
avg_dcc_avg5_lag8,0.0,0
avg_dcc_avg5_lag11,0.0,0
avg_dcc_avg22_lag3,0.0,0
avg_dcc_avg5_lag12,0.0,0
avg_dcc_avg5_lag16,0.0,0
avg_dcc_avg5_lag17,0.0,0
Total_Spillover_z20_lag9,0.0,0
avg_dcc_avg5_lag18,0.0,0
Total_Spillover_z20_lag18,0.0,0
Total_Spillover_avg22_lag16,0.0,0
avg_dcc_chg1_lag20,0.0,0
Total_Spillover_avg22_lag12,0.0,0
Total_Spillover_avg22_lag6,0.0,0
Total_Spillover_avg22_lag7,0.0,0
avg_dcc_chg1_lag4,0.0,0
avg_dcc_avg22_lag1,0.0,0
Total_Spillover_avg22_lag10,0.0,0
avg_dcc_chg1_lag3,0.0,0
Total_Spillover_avg22_lag13,0.0,0
avg_dcc_z20_lag5,0.0,0
avg_dcc_z20_lag6,0.0,0
Total_Spillover_avg22_lag14,0.0,0
avg_dcc_chg1_lag2,0.0,0
avg_dcc_chg1_lag1,0.0,0
Total_Spillover_avg22_lag15,0.0,0
