feature,mean_abs_shap,n_obs
PBW_x_lag15,0.0,969
PBW_x_lag16,0.0,969
PBW_x_lag17,0.0,969
PBW_x_lag18,0.0,969
PBW_x_lag19,0.0,969
PBW_x_lag20,0.0036583203,969
PBW_y_lag1,0.0034321642,969
PBW_y_lag2,0.0,969
PBW_y_lag3,0.0,969
PBW_y_lag4,0.0,969
PBW_y_lag5,0.0,969
PBW_y_lag6,0.0,969
PBW_y_lag7,0.0,969
PBW_y_lag8,0.0017544272,969
PBW_y_lag9,0.0,969
PBW_y_lag10,0.0,969
PBW_y_lag11,0.0,969
PBW_y_lag12,0.0,969
PBW_y_lag13,0.0,969
PBW_y_lag14,0.0027345566,969
PBW_y_lag15,0.0018540095,969
PBW_y_lag16,0.0,969
PBW_y_lag17,0.0,969
PBW_y_lag18,0.0,969
PBW_y_lag19,0.0009841848,969
PBW_y_lag20,0.0,969
avg_dcc_lag1,0.0,969
avg_dcc_lag2,0.0,969
avg_dcc_lag3,0.0,969
avg_dcc_lag4,0.0,969
avg_dcc_lag5,0.0,969
avg_dcc_lag6,0.0,969
avg_dcc_lag7,0.0,969
avg_dcc_lag8,0.0018895683,969
avg_dcc_lag9,0.0011879051,969
avg_dcc_lag10,0.0008618195,969
avg_dcc_lag11,0.0,969
avg_dcc_lag12,0.0,969
avg_dcc_lag13,0.0,969
avg_dcc_lag14,0.0,969
avg_dcc_lag15,0.0016163947,969
avg_dcc_lag16,0.0,969
avg_dcc_lag17,0.0,969
avg_dcc_lag18,0.0,969
avg_dcc_lag19,0.0,969
avg_dcc_lag20,0.0,969
Total_Spillover_chg1_lag1,0.013743897,969
Total_Spillover_chg1_lag2,0.0153279025,969
Total_Spillover_chg1_lag3,0.0,969
Total_Spillover_chg1_lag4,0.0,969
Total_Spillover_chg1_lag5,0.0,969
Total_Spillover_chg1_lag6,0.0,969
Total_Spillover_chg1_lag7,0.0,969
Total_Spillover_chg1_lag8,0.0,969
Total_Spillover_chg1_lag9,0.0,969
