Date,P(High),P(Med),P(Low)
2009-11-11,0.317990,0.311243,0.340734
2009-11-18,0.348784,0.342346,0.325347
2009-11-25,0.333036,0.326886,0.354045
2009-12-03,0.317997,0.312124,0.339825
2009-12-10,0.348793,0.343188,0.324479
2009-12-17,0.333042,0.327690,0.354967
2009-12-24,0.318002,0.312892,0.338955
2010-01-04,0.348800,0.343921,0.323648
2010-01-11,0.333049,0.328390,0.354191
2010-01-19,0.318009,0.313560,0.338196
2010-01-26,0.348806,0.344559,0.322924
2010-02-02,0.333055,0.328999,0.353500
2010-02-09,0.318015,0.314142,0.337536
2010-02-17,0.348812,0.345114,0.322294
2010-02-24,0.333060,0.329529,0.352898
2010-03-03,0.318020,0.314648,0.336961
2010-03-10,0.348817,0.345598,0.321745
2010-03-17,0.333065,0.329991,0.352374
2010-03-24,0.318024,0.315089,0.336461
2010-03-31,0.348821,0.346019,0.321267
2010-04-08,0.333069,0.330393,0.351917
2010-04-15,0.318028,0.315473,0.336025
2010-04-22,0.348825,0.346385,0.320851
2010-04-29,0.333073,0.330743,0.351520
2010-05-06,0.318031,0.315807,0.335646
2010-05-13,0.348828,0.346704,0.320489
2010-05-20,0.333076,0.331048,0.351175
2010-05-27,0.318034,0.316098,0.335316
2010-06-04,0.348831,0.346982,0.320174
2010-06-11,0.333078,0.331313,0.350874
2010-06-18,0.318037,0.316351,0.335029
2010-06-25,0.348833,0.347224,0.319900
2010-07-02,0.333081,0.331544,0.350612
2010-07-12,0.318039,0.316572,0.334779
2010-07-19,0.348835,0.347434,0.319661
2010-07-26,0.333083,0.331745,0.350384
2010-08-02,0.318041,0.316764,0.334561
2010-08-09,0.348837,0.347617,0.319453
2010-08-16,0.333084,0.331920,0.350185
2010-08-23,0.318043,0.316931,0.334371
2010-08-30,0.348839,0.347777,0.319272
2010-09-07,0.333086,0.332072,0.350012
2010-09-14,0.318044,0.317076,0.334206
2010-09-21,0.348840,0.347916,0.319114
2010-09-28,0.333087,0.332204,0.349862
2010-10-05,0.318046,0.317203,0.334062
2010-10-12,0.348841,0.348037,0.318977
2010-10-19,0.333088,0.332320,0.349731
2010-10-26,0.318047,0.317313,0.333937
2010-11-02,0.348843,0.348142,0.318857
2010-11-09,0.333089,0.332420,0.349617
2010-11-16,0.318048,0.317409,0.333829
2010-11-23,0.348843,0.348234,0.318753
2010-12-01,0.333090,0.332508,0.349517
2010-12-08,0.318049,0.317492,0.333734
2010-12-15,0.348844,0.348313,0.318663
2010-12-22,0.333095,0.332584,0.349431
2010-12-30,0.318053,0.317565,0.333651
2011-01-06,0.348845,0.348383,0.318584
2011-01-13,0.333444,0.332650,0.349356
2011-01-21,0.318386,0.317628,0.333579
2011-01-28,0.348814,0.348443,0.318516
2011-02-04,0.341137,0.332708,0.349290
2011-02-11,0.325732,0.317683,0.333517
2011-02-18,0.348106,0.348496,0.318456
2011-02-28,0.363904,0.332758,0.349233
2011-03-07,0.347471,0.317731,0.333462
2011-03-14,0.345420,0.348542,0.318404
2011-03-21,0.373556,0.332802,0.349183
2011-03-28,0.356687,0.317773,0.333415
2011-04-04,0.342003,0.348582,0.318359
2011-04-11,0.371652,0.332840,0.349140
2011-04-18,0.354869,0.317810,0.333374
2011-04-26,0.338909,0.348616,0.318319
2011-05-03,0.368758,0.332873,0.349103
2011-05-10,0.352106,0.317841,0.333338
2011-05-17,0.336209,0.348646,0.318285
2011-05-24,0.366184,0.332902,0.349070
2011-06-01,0.349648,0.317869,0.333306
2011-06-08,0.333859,0.348673,0.318255
2011-06-15,0.363941,0.332927,0.349041
2011-06-22,0.347506,0.317893,0.333279
2011-06-29,0.331813,0.348696,0.318229
2011-07-07,0.361987,0.332949,0.349017
2011-07-14,0.345641,0.317914,0.333256
2011-07-21,0.330032,0.348716,0.318206
2011-07-28,0.360287,0.332968,0.348995
2011-08-04,0.344017,0.317932,0.333235
2011-08-11,0.328482,0.348733,0.318187
2011-08-18,0.358806,0.332985,0.348976
2011-08-25,0.342603,0.317948,0.333217
2011-09-01,0.327132,0.348748,0.318170
2011-09-09,0.357517,0.332999,0.348960
2011-09-16,0.341372,0.317961,0.333201
2011-09-23,0.325957,0.348761,0.318155
